Date,Open,High,Low,Close,Volume,Adj Close
6/1/2016,14.45,15.25,14.18,14.2,0,14.2
5/31/2016,13.94,15,13.45,14.19,0,14.19
5/27/2016,13.49,13.76,13.04,13.12,0,13.12
5/26/2016,13.8,14.11,13.43,13.43,0,13.43
5/25/2016,14.19,14.33,13.64,13.9,0,13.9
5/24/2016,16.030001,16.059999,14.36,14.42,0,14.42
5/23/2016,16.33,16.469999,15.4,15.82,0,15.82
5/20/2016,16.129999,16.299999,15.11,15.2,0,15.2
5/19/2016,16.370001,17.65,16.280001,16.33,0,16.33
5/18/2016,15.72,16.469999,14.86,15.95,0,15.95
5/17/2016,14.57,16.120001,14.48,15.57,0,15.57
5/16/2016,15.72,15.98,14.28,14.68,0,14.68
5/13/2016,15.15,15.47,13.97,15.04,0,15.04
5/12/2016,14.55,15.42,13.95,14.41,0,14.41
5/11/2016,13.92,14.69,13.29,14.69,0,14.69
5/10/2016,13.98,14.35,13.55,13.63,0,13.63
5/9/2016,15.2,15.39,14.17,14.57,0,14.57
5/6/2016,16.200001,16.58,14.71,14.72,0,14.72
5/5/2016,15.54,16.450001,15.22,15.91,0,15.91
5/4/2016,15.47,16.85,15.39,16.049999,0,16.049999
5/3/2016,14.92,16.42,14.91,15.6,0,15.6
5/2/2016,16.33,16.5,14.48,14.68,0,14.68
4/29/2016,15.21,17.09,14.91,15.7,0,15.7
4/28/2016,14.53,15.61,13.3,15.22,0,15.22
